source_row_index,entry_time,greedy,llm_used,hint,capture_folders,capture_folder,capture_dir,stitch_status,stitch_error,stitched_output,total_captures,unique_coordinates,overlap_capture_count,overlap_capture_percentage,duplicate_extra_capture_count,duplicate_extra_capture_percentage,out_of_bounds_capture_count,out_of_bounds_capture_percentage,out_of_bounds_unique_coordinate_count,out_of_bounds_unique_coordinate_percentage,required_x_min,required_x_max,required_y_min,required_y_max
1,2026-05-14T01:33:00.189827+00:00,Yes,greedy,,run_20260514012616;run_20260514013120,run_20260514012616,/home/ws/ugv_ws/captures/run_20260514012616,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260514012616_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
1,2026-05-14T01:33:00.189827+00:00,Yes,greedy,,run_20260514012616;run_20260514013120,run_20260514013120,/home/ws/ugv_ws/captures/run_20260514013120,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260514013120_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
2,2026-05-16T04:29:35.114463+00:00,No,code-gemini-2.5-flash-lite,easy,run_20260516042339;run_20260516042705,run_20260516042339,/home/ws/ugv_ws/captures/run_20260516042339,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260516042339_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
2,2026-05-16T04:29:35.114463+00:00,No,code-gemini-2.5-flash-lite,easy,run_20260516042339;run_20260516042705,run_20260516042705,/home/ws/ugv_ws/captures/run_20260516042705,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260516042705_stitched_mosaic.png,5,5,0,0.0,0,0.0,4,80.0,4,80.0,-1,1,0,2
3,2026-05-16T04:45:08.090466+00:00,No,code-gemini-2.5-flash-lite,medium,run_20260516043401;run_20260516044456,run_20260516043401,/home/ws/ugv_ws/captures/run_20260516043401,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260516043401_stitched_mosaic.png,50,45,10,20.0,5,10.0,45,90.0,40,88.889,-1,1,0,2
3,2026-05-16T04:45:08.090466+00:00,No,code-gemini-2.5-flash-lite,medium,run_20260516043401;run_20260516044456,run_20260516044456,/home/ws/ugv_ws/captures/run_20260516044456,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260516044456_stitched_mosaic.png,2,2,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
4,2026-05-16T04:58:19.583879+00:00,No,code-gemini-2.5-flash-lite,hard,run_20260516044940;run_20260516045239,run_20260516044940,/home/ws/ugv_ws/captures/run_20260516044940,missing_capture_dir,Missing capture directory: /home/ws/ugv_ws/captures/run_20260516044940,/home/ws/ugv_ws/stitched_mosaics/run_20260516044940_stitched_mosaic.png,0,0,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
4,2026-05-16T04:58:19.583879+00:00,No,code-gemini-2.5-flash-lite,hard,run_20260516044940;run_20260516045239,run_20260516045239,/home/ws/ugv_ws/captures/run_20260516045239,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260516045239_stitched_mosaic.png,38,7,37,97.368,31,81.579,1,2.632,1,14.286,-1,1,0,2
5,2026-05-16T05:09:56.420288+00:00,No,code-gemini-2.5-pro,easy,run_20260516050254;run_20260516050748,run_20260516050254,/home/ws/ugv_ws/captures/run_20260516050254,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260516050254_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
5,2026-05-16T05:09:56.420288+00:00,No,code-gemini-2.5-pro,easy,run_20260516050254;run_20260516050748,run_20260516050748,/home/ws/ugv_ws/captures/run_20260516050748,exists,,/home/ws/ugv_ws/stitched_mosaics/run_20260516050748_stitched_mosaic.png,6,6,0,0.0,0,0.0,0,0.0,0,0.0,-1,1,0,2
